
                     X       _temp_1

           0.00000E+00   0.00000E+00
           1.00075E-03   9.58471E-02
           2.00022E-03   1.13609E+00
           3.00092E-03   3.09411E+00
           4.00033E-03   7.46041E+00
           5.00121E-03   1.57186E+01
           6.00077E-03   3.12020E+01
           7.00023E-03   5.67214E+01
           8.00076E-03   9.63878E+01
           9.00128E-03   1.53843E+02
           1.00005E-02   2.31122E+02
           1.10010E-02   3.36553E+02
           1.20002E-02   4.67540E+02
           1.30008E-02   6.28722E+02
           1.40013E-02   8.17595E+02
           1.50005E-02   1.02599E+03
           1.60010E-02   1.24776E+03
           1.70002E-02   1.47190E+03
           1.80007E-02   1.69236E+03
           1.90013E-02   1.89190E+03
           2.00005E-02   2.06396E+03
           2.10010E-02   2.20093E+03
           2.20002E-02   2.30722E+03
           2.30007E-02   2.38979E+03
           2.40013E-02   2.44555E+03
           2.50005E-02   2.49015E+03
           2.60010E-02   2.52441E+03
           2.70002E-02   2.56102E+03
           2.80007E-02   2.61015E+03
           2.90013E-02   2.67564E+03
           3.00005E-02   2.76808E+03
           3.10010E-02   2.88857E+03
           3.20002E-02   3.05476E+03
           3.30007E-02   3.26445E+03
           3.40013E-02   3.53380E+03
           3.50005E-02   3.86675E+03
           3.60010E-02   4.25522E+03
           3.70002E-02   4.70649E+03
           3.80007E-02   5.20941E+03
           3.90012E-02   5.75664E+03
           4.00005E-02   6.32044E+03
           4.10010E-02   6.88577E+03
           4.20002E-02   7.43921E+03
           4.30007E-02   7.96948E+03
           4.40012E-02   8.47915E+03
           4.50005E-02   8.94520E+03
           4.60010E-02   9.37552E+03
           4.70002E-02   9.76541E+03
           4.80007E-02   1.01199E+04
           4.90012E-02   1.04406E+04
           5.00005E-02   1.07211E+04
           5.10010E-02   1.09816E+04
           5.20002E-02   1.12081E+04
           5.30007E-02   1.14232E+04
           5.40012E-02   1.16342E+04
           5.50004E-02   1.18569E+04
           5.60010E-02   1.21094E+04
           5.70002E-02   1.23915E+04
           5.80007E-02   1.27466E+04
           5.90012E-02   1.31826E+04
           6.00004E-02   1.37147E+04
           6.10010E-02   1.43448E+04
           6.20002E-02   1.50648E+04
           6.30007E-02   1.58969E+04
           6.40012E-02   1.68191E+04
           6.50004E-02   1.78434E+04
           6.60010E-02   1.89538E+04
           6.70002E-02   2.01476E+04
           6.80007E-02   2.14526E+04
           6.90012E-02   2.28468E+04
           7.00004E-02   2.43520E+04
           7.10010E-02   2.59864E+04
           7.20002E-02   2.77422E+04
           7.30007E-02   2.96377E+04
           7.40012E-02   3.16621E+04
           7.50004E-02   3.38524E+04
           7.60010E-02   3.62061E+04
           7.70002E-02   3.87042E+04
           7.80007E-02   4.13851E+04
           7.90012E-02   4.42308E+04
           8.00004E-02   4.72623E+04
           8.10009E-02   5.05176E+04
           8.20002E-02   5.39830E+04
           8.30007E-02   5.77030E+04
           8.40012E-02   6.16999E+04
           8.50004E-02   6.59726E+04
           8.60009E-02   7.05755E+04
           8.70002E-02   7.55142E+04
           8.80007E-02   8.08217E+04
           8.90012E-02   8.65206E+04
           9.00004E-02   9.26013E+04
           9.10009E-02   9.91401E+04
           9.20001E-02   1.06158E+05
           9.30007E-02   1.13684E+05
           9.40012E-02   1.21777E+05
           9.50004E-02   1.30451E+05
           9.60009E-02   1.39747E+05
           9.70001E-02   1.49697E+05
           9.80007E-02   1.60383E+05
           9.90012E-02   1.71847E+05
           1.00000E-01   1.84138E+05
           1.01001E-01   1.97259E+05
